City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
216,Porbandar,IN,21.6422,69.6093,67.46,57,0,10.13,clear sky
217,San Cristobal,VE,7.7669,-72.225,69.98,77,12,2.24,few clouds
218,Atyashevo,RU,54.5644,46.0691,2.01,100,96,4.18,overcast clouds
219,Chardara,KZ,41.2547,67.9692,20.89,85,99,6.15,overcast clouds
220,Straseni,MD,47.1414,28.6103,30.13,96,100,15.3,overcast clouds
221,Upernavik,GL,72.7868,-56.1549,-0.42,93,100,14.36,overcast clouds
222,Teya,RU,60.3778,92.6267,14.23,95,100,5.1,light snow
223,Fort-Shevchenko,KZ,44.5086,50.263,33.08,56,3,13.2,clear sky
224,Sar-E Pul,AF,35.8333,66.1667,25.47,84,93,5.19,overcast clouds
225,Dryden,CA,49.7833,-92.7503,-7.31,64,20,14.97,few clouds
226,Mach,PK,29.8637,67.3298,47.05,80,100,3.74,overcast clouds
227,Ketchikan,US,55.3422,-131.6461,43.27,36,0,3.44,clear sky
228,Sola,VU,-13.8833,167.55,82.29,75,15,10.0,few clouds
229,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,85.5,46,100,4.41,overcast clouds
230,Hastings,GB,50.8552,0.5729,41.29,78,65,3.96,broken clouds
231,Mogadouro,PT,41.3403,-6.7119,28.06,85,2,3.94,clear sky
232,Coruripe,BR,-10.1256,-36.1756,78.51,77,2,8.32,clear sky
233,Hobe Sound,US,27.0595,-80.1364,73.38,73,100,11.5,overcast clouds
234,Kenai,US,60.5544,-151.2583,33.1,76,40,0.0,scattered clouds
235,Ballina,AU,-28.8667,153.5667,81.79,84,98,5.12,overcast clouds
236,Coihaique,CL,-45.5752,-72.0662,66.81,63,75,8.05,broken clouds
237,Contagem,BR,-19.9317,-44.0536,72.32,78,20,2.3,few clouds
238,Inta,RU,66.0317,60.1659,12.47,95,95,7.27,light snow
239,Cervo,ES,43.6702,-7.4101,47.97,68,100,17.65,overcast clouds
240,Albany,US,42.6001,-73.9662,37.81,74,83,3.31,broken clouds
241,Luderitz,NA,-26.6481,15.1594,65.3,74,0,21.05,clear sky
242,Ilan,TW,24.757,121.753,53.37,99,99,2.08,overcast clouds
243,Puerto Carreno,CO,6.189,-67.4859,89.58,43,0,9.22,clear sky
244,Padang,ID,-0.9492,100.3543,75.96,85,100,4.9,light rain
245,Kadaya,RU,50.9327,119.2911,-28.77,100,95,0.67,overcast clouds
246,Tura,IN,25.5198,90.2201,58.77,61,3,3.74,clear sky
247,Bedele,ET,8.456,36.353,62.58,45,68,2.82,broken clouds
248,Ati,TD,13.2154,18.3353,79.25,11,96,9.73,overcast clouds
249,Kachug,RU,53.9606,105.8817,8.06,98,100,2.04,overcast clouds
250,Nizhnyaya Tavda,RU,57.6731,66.1725,3.16,98,54,5.66,broken clouds
251,Nizhneangarsk,RU,55.7833,109.55,-3.12,88,68,6.13,broken clouds
252,Klaksvik,FO,62.2266,-6.589,47.32,92,100,34.78,moderate rain
253,Alekseyevsk,RU,57.8406,108.3492,9.18,96,100,5.21,overcast clouds
254,Hofn,IS,64.2539,-15.2082,38.79,75,54,10.29,broken clouds
255,Tucurui,BR,-3.7661,-49.6725,75.67,90,93,3.11,overcast clouds
256,Boa Vista,BR,2.8197,-60.6733,85.98,45,40,9.22,scattered clouds
257,Scottsbluff,US,41.8666,-103.6672,16.03,83,100,16.11,light snow
258,Deder,ET,9.3167,41.45,54.09,70,0,2.33,clear sky
259,Miyako,JP,39.6367,141.9525,25.11,51,17,12.86,few clouds
260,Portland,US,45.5234,-122.6762,48.45,84,100,5.75,overcast clouds
261,East London,ZA,-33.0153,27.9116,68.02,79,100,17.49,light rain
262,Castrillon,ES,43.3979,-6.7922,39.58,92,98,4.72,overcast clouds
263,Praia,CV,14.9215,-23.5087,70.34,78,0,18.41,clear sky
264,Gamba,GA,-2.65,10.0,75.51,82,57,4.47,broken clouds
265,Cherskiy,RU,68.75,161.3,-23.6,98,92,4.92,overcast clouds
266,Port Elizabeth,ZA,-33.918,25.5701,64.69,80,100,8.05,overcast clouds
267,Vanimo,PG,-2.6741,141.3028,81.72,73,76,4.34,broken clouds
268,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,76,75,10.36,broken clouds
269,Katobu,ID,-4.9408,122.5276,76.39,90,99,1.03,overcast clouds
270,Quelimane,MZ,-17.8786,36.8883,80.55,83,0,3.44,clear sky
271,Mehamn,NO,71.0357,27.8492,30.15,80,96,14.97,overcast clouds
272,Bud,US,39.447,-86.1758,53.55,72,91,13.0,overcast clouds
273,Hami,CN,42.8,93.45,15.89,35,0,1.92,clear sky
274,Bauchi,NG,10.5,10.0,76.32,21,46,4.7,scattered clouds
275,Ghanzi,BW,-21.5667,21.7833,80.13,32,69,8.05,broken clouds
276,Luan,CH,46.3592,6.9759,24.85,94,39,4.85,scattered clouds
277,Terracina,IT,41.2863,13.2217,45.91,71,48,1.01,scattered clouds
278,Chuy,UY,-33.6971,-53.4616,72.54,86,47,5.53,scattered clouds
279,Upington,ZA,-28.4478,21.2561,79.18,31,0,8.05,clear sky
280,Vrangel,RU,42.7297,133.0839,2.39,72,11,7.74,few clouds
281,Bumba,CD,2.1833,22.4667,74.32,60,63,2.48,broken clouds
282,Nicoya,CR,10.1483,-85.452,82.8,42,63,18.14,broken clouds
283,Solnechnyy,RU,50.7214,136.6319,-24.92,97,51,4.36,broken clouds
284,Amapa,BR,1.0,-52.0,71.15,99,82,2.73,broken clouds
285,Barrow,US,71.2906,-156.7887,-5.78,77,100,10.36,light snow
286,Mogadishu,SO,2.0371,45.3438,75.61,82,18,21.14,few clouds
287,Vestmanna,FO,62.1564,-7.1664,45.52,93,100,11.5,moderate rain
288,Isla Vista,US,34.4133,-119.861,66.25,63,20,8.05,few clouds
289,Vila Velha,BR,-20.3297,-40.2925,80.55,90,40,12.66,scattered clouds
290,Aklavik,CA,68.2191,-135.0107,-14.8,76,75,4.61,broken clouds
291,Palana,RU,59.1167,159.9667,6.51,91,80,7.05,broken clouds
292,Dibulla,CO,11.2725,-73.3091,78.62,55,19,10.49,few clouds
293,Abu Samrah,SY,35.3029,37.1841,44.55,80,62,5.03,broken clouds
294,Turhal,TR,40.3875,36.0811,41.27,94,92,3.62,light rain
295,Menasha,US,44.2022,-88.4465,17.78,73,100,5.5,overcast clouds
