City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
607,Puerto Maldonado,PE,79.2,broken clouds,-12.6,-69.1833,No hotel found
608,Merauke,ID,79.41,overcast clouds,-8.4667,140.3333,No hotel found
609,Altamira,BR,73.11,overcast clouds,-3.2033,-52.2064,No hotel found
612,Juventino Rosas,MX,72.68,scattered clouds,20.65,-101.0,No hotel found
613,Waipawa,NZ,71.19,overcast clouds,-41.4122,175.5153,No hotel found
614,Cooma,AU,76.68,moderate rain,-36.2333,149.1333,No hotel found
616,Sarh,TD,71.51,clear sky,9.1429,18.3923,No hotel found
617,Opunake,NZ,72.84,overcast clouds,-39.4556,173.8583,No hotel found
621,Lazaro Cardenas,MX,82.89,clear sky,17.9583,-102.2,No hotel found
624,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,No hotel found
625,Salinopolis,BR,77.41,light rain,-0.6136,-47.3561,No hotel found
626,Lakes Entrance,AU,73.17,overcast clouds,-37.8811,147.981,No hotel found
630,Tucuma,BR,74.93,overcast clouds,-0.1833,-50.05,No hotel found
637,La Libertad,EC,82.06,clear sky,-2.2333,-80.9,No hotel found
639,Isiro,CD,74.57,overcast clouds,2.7739,27.616,No hotel found
641,Bonthe,SL,77.7,few clouds,7.5264,-12.505,No hotel found
642,Finschhafen,PG,84.33,broken clouds,-6.6024,147.8681,No hotel found
651,Kolondieba,ML,77.56,overcast clouds,11.0882,-6.8926,No hotel found
653,San Luis,AR,81.77,scattered clouds,-33.295,-66.3356,No hotel found
655,Sao Sebastiao,BR,76.66,scattered clouds,-23.76,-45.4097,No hotel found
656,Taganak,PH,75.34,broken clouds,6.0833,118.3,No hotel found
666,Sarangani,PH,77.77,overcast clouds,5.4033,125.4636,No hotel found
668,Rosario,AR,87.94,clear sky,-32.9468,-60.6393,No hotel found
672,Moerai,PF,79.23,broken clouds,-22.4333,-151.3333,No hotel found
675,Vallenar,CL,79.52,clear sky,-28.5708,-70.7581,No hotel found
678,Lano,NG,80.42,broken clouds,10.1725,11.4715,No hotel found
683,Karangasem,ID,76.51,overcast clouds,-8.45,115.6167,No hotel found
684,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,No hotel found
685,Alyangula,AU,82.69,overcast clouds,-13.8483,136.4192,No hotel found
689,Acari,PE,77.4,overcast clouds,-15.4311,-74.6158,No hotel found
691,Manga,BF,74.79,broken clouds,11.6636,-1.0731,No hotel found
692,Bowen,AU,82.96,broken clouds,-20.0167,148.2333,No hotel found
693,Mercedes,AR,83.86,clear sky,-34.6515,-59.4307,No hotel found
696,Luganville,VU,85.68,clear sky,-15.5333,167.1667,No hotel found
697,Bolgatanga,GH,77.41,scattered clouds,10.7856,-0.8514,No hotel found
700,Beeville,US,70.63,overcast clouds,28.4008,-97.7483,No hotel found
701,Yarada,IN,72.59,few clouds,17.65,83.2667,No hotel found
704,West Bay,KY,82.47,few clouds,19.3667,-81.4167,No hotel found
710,Tevaitoa,PF,81.48,light rain,-16.7833,-151.5,No hotel found
714,Pouebo,NC,76.35,moderate rain,-20.4,164.5667,No hotel found
717,Tamandare,BR,78.82,clear sky,-8.7597,-35.1047,No hotel found
